region	sex	age_band	count
Zachodniopomorskie	female	20-24	36629
Zachodniopomorskie	female	25-29	38314
Zachodniopomorskie	female	30-34	47749
Zachodniopomorskie	female	35-39	56753
Zachodniopomorskie	female	40-44	68843
Zachodniopomorskie	female	45-49	67196
Zachodniopomorskie	female	50-54	58585
Zachodniopomorskie	female	55-59	47964
Zachodniopomorskie	female	60-64	50172
Zachodniopomorskie	female	65-74	124510
Zachodniopomorskie	female	75-89	79778
Zachodniopomorskie	female	90+	9470
Zachodniopomorskie	male	0-14	107765
Zachodniopomorskie	male	15-17	27647
Zachodniopomorskie	male	18-19	16747
Zachodniopomorskie	male	20-24	38554
Zachodniopomorskie	male	25-29	40176
Zachodniopomorskie	male	30-34	49780
Zachodniopomorskie	male	35-39	58862
Zachodniopomorskie	male	40-44	70978
Zachodniopomorskie	male	45-49	68087
Zachodniopomorskie	male	50-54	58793
Zachodniopomorskie	male	55-59	46757
Zachodniopomorskie	male	60-64	46345
Zachodniopomorskie	male	65-74	98872
Zachodniopomorskie	male	75-89	48462
Zachodniopomorskie	male	90+	2998
Łódzkie	female	0-14	151155
Łódzkie	female	15-17	37409
Łódzkie	female	18-19	22662
Łódzkie	female	20-24	51900
Łódzkie	female	25-29	56118
Łódzkie	female	30-34	67412
Łódzkie	female	35-39	78608
Łódzkie	female	40-44	93994
Łódzkie	female	45-49	94467
Łódzkie	female	50-54	85062
Łódzkie	female	55-59	73635
Łódzkie	female	60-64	74811
Łódzkie	female	65-74	181834
Łódzkie	female	75-89	134045
Łódzkie	female	90+	15762
Łódzkie	male	0-14	159721
Łódzkie	male	15-17	39421
Łódzkie	male	18-19	23749
Łódzkie	male	20-24	54602
Łódzkie	male	25-29	59412
Łódzkie	male	30-34	70912
Łódzkie	male	35-39	81285
Łódzkie	male	40-44	97251
Łódzkie	male	45-49	94764
Łódzkie	male	50-54	82687
Łódzkie	male	55-59	68250
Łódzkie	male	60-64	65234
Łódzkie	male	65-74	135565
Łódzkie	male	75-89	72060
Łódzkie	male	90+	4526
Śląskie	female	0-14	277755
Śląskie	female	15-17	69537
Śląskie	female	18-19	41040
Śląskie	female	20-24	92212
Śląskie	female	25-29	99211
Śląskie	female	30-34	122756
Śląskie	female	35-39	152722
Śląskie	female	40-44	180676
Śląskie	female	45-49	176505
Śląskie	female	50-54	153727
Śląskie	female	55-59	136014
Śląskie	female	60-64	141493
Śląskie	female	65-74	319438
Śląskie	female	75-89	226978
Śląskie	female	90+	23294
Śląskie	male	0-14	292849
Śląskie	male	15-17	72291
Śląskie	male	18-19	42753
Śląskie	male	20-24	95561
Śląskie	male	25-29	103011
Śląskie	male	30-34	127055
Śląskie	male	35-39	156582
Śląskie	male	40-44	185383
Śląskie	male	45-49	177367
Śląskie	male	50-54	151797
Śląskie	male	55-59	128721
Śląskie	male	60-64	127118
Śląskie	male	65-74	245542
Śląskie	male	75-89	132197
Śląskie	male	90+	8850
Świętokrzyskie	female	0-14	71020
Świętokrzyskie	female	15-17	18641
