registered_seat_region	pkd2007_section	expected_workers_band	count
24	L	10-49	421
24	L	50-249	112
24	L	250=>	15
24	M	0-9	47981
24	M	10-49	709
24	M	50-249	78
24	M	250=>	14
24	N	0-9	16655
24	N	10-49	471
24	N	50-249	120
24	N	250=>	25
24	O	0-9	1396
24	O	10-49	186
24	O	50-249	204
24	O	250=>	41
24	P	0-9	15388
24	P	10-49	2449
24	P	50-249	812
24	P	250=>	14
24	Q	0-9	32341
24	Q	10-49	937
24	Q	50-249	174
24	Q	250=>	64
24	R	0-9	8474
24	R	10-49	335
24	R	50-249	91
24	R	250=>	4
24	S	0-9	34771
24	S	10-49	365
24	S	50-249	63
24	S	250=>	14
24	U	0-9	11
24	U	10-49	3
24	U	50-249	0
24	U	250=>	0
26	A	0-9	1430
26	A	10-49	36
26	A	50-249	8
26	A	250=>	0
26	B	0-9	105
26	B	10-49	20
26	B	50-249	9
26	B	250=>	2
26	C	0-9	9021
26	C	10-49	504
26	C	50-249	106
26	C	250=>	40
26	D	0-9	474
26	D	10-49	8
26	D	50-249	9
26	D	250=>	2
26	E	0-9	549
26	E	10-49	58
26	E	50-249	21
26	E	250=>	3
26	F	0-9	16279
26	F	10-49	322
26	F	50-249	41
26	F	250=>	2
26	G	0-9	25351
26	G	10-49	485
26	G	50-249	59
26	G	250=>	10
26	H	0-9	6551
26	H	10-49	83
26	H	50-249	16
26	H	250=>	3
26	I	0-9	2944
26	I	10-49	93
26	I	50-249	9
26	I	250=>	1
26	J	0-9	3313
26	J	10-49	27
26	J	50-249	3
26	J	250=>	0
26	K	0-9	2839
26	K	10-49	26
26	K	50-249	8
26	K	250=>	0
26	L	0-9	4101
26	L	10-49	78
26	L	50-249	14
26	L	250=>	1
26	M	0-9	9309
26	M	10-49	114
26	M	50-249	7
26	M	250=>	0
26	N	0-9	2934
26	N	10-49	86
26	N	50-249	18
26	N	250=>	3
26	O	0-9	1060
26	O	10-49	120
26	O	50-249	91
26	O	250=>	6
26	P	0-9	2926
26	P	10-49	765
26	P	50-249	173
26	P	250=>	6
26	Q	0-9	6715
26	Q	10-49	275
26	Q	50-249	61
26	Q	250=>	21
26	R	0-9	1789
26	R	10-49	90
26	R	50-249	15
26	R	250=>	0
26	S	0-9	10050
26	S	10-49	82
26	S	50-249	13
26	S	250=>	2
26	U	0-9	4
26	U	10-49	1
26	U	50-249	0
26	U	250=>	0
28	A	0-9	3616
28	A	10-49	130
28	A	50-249	46
28	A	250=>	0
28	B	0-9	100
28	B	10-49	6
28	B	50-249	2
28	B	250=>	0
28	C	0-9	8284
28	C	10-49	529
28	C	50-249	187
28	C	250=>	32
28	D	0-9	415
28	D	10-49	20
28	D	50-249	11
28	D	250=>	2
28	E	0-9	288
28	E	10-49	85
28	E	50-249	24
28	E	250=>	2
28	F	0-9	16223
28	F	10-49	291
28	F	50-249	43
28	F	250=>	3
28	G	0-9	19349
28	G	10-49	506
28	G	50-249	65
28	G	250=>	2
28	H	0-9	6043
28	H	10-49	99
28	H	50-249	14
28	H	250=>	3
28	I	0-9	3829
28	I	10-49	152
28	I	50-249	14
28	I	250=>	0
28	J	0-9	3822
28	J	10-49	17
28	J	50-249	4
28	J	250=>	1
28	K	0-9	3272
28	K	10-49	21
28	K	50-249	11
28	K	250=>	1
28	L	0-9	13108
28	L	10-49	115
28	L	50-249	26
28	L	250=>	0
28	M	0-9	10472
28	M	10-49	89
28	M	50-249	12
28	M	250=>	2
28	N	0-9	3982
28	N	10-49	78
28	N	50-249	16
28	N	250=>	4
28	O	0-9	827
28	O	10-49	156
28	O	50-249	99
28	O	250=>	20
28	P	0-9	3905
28	P	10-49	787
28	P	50-249	202
28	P	250=>	3
28	Q	0-9	9487
28	Q	10-49	252
28	Q	50-249	62
28	Q	250=>	19
28	R	0-9	2470
28	R	10-49	103
28	R	50-249	15
28	R	250=>	0
28	S	0-9	12580
28	S	10-49	108
28	S	50-249	18
28	S	250=>	0
30	A	0-9	9379
30	A	10-49	345
30	A	50-249	87
30	A	250=>	4
30	B	0-9	346
30	B	10-49	20
30	B	50-249	2
30	B	250=>	3
30	C	0-9	33618
30	C	10-49	2229
30	C	50-249	651
30	C	250=>	153
30	D	0-9	1720
30	D	10-49	35
30	D	50-249	9
30	D	250=>	5
30	E	0-9	1074
30	E	10-49	173
30	E	50-249	66
30	E	250=>	4
30	F	0-9	64270
30	F	10-49	1207
30	F	50-249	119
30	F	250=>	11
30	G	0-9	80366
30	G	10-49	2115
30	G	50-249	269
30	G	250=>	55
30	H	0-9	23456
30	H	10-49	521
30	H	50-249	70
30	H	250=>	13
30	I	0-9	10517
30	I	10-49	397
30	I	50-249	32
30	I	250=>	2
30	J	0-9	21503
30	J	10-49	183
30	J	50-249	38
30	J	250=>	2
30	K	0-9	10943
30	K	10-49	95
30	K	50-249	35
30	K	250=>	5
30	L	0-9	23696
30	L	10-49	322
30	L	50-249	59
30	L	250=>	11
30	M	0-9	48395
30	M	10-49	528
30	M	50-249	46
30	M	250=>	5
30	N	0-9	18172
30	N	10-49	375
30	N	50-249	70
30	N	250=>	12
30	O	0-9	2035
30	O	10-49	451
30	O	50-249	189
30	O	250=>	25
30	P	0-9	13656
30	P	10-49	2222
30	P	50-249	570
30	P	250=>	17
30	Q	0-9	28570
30	Q	10-49	575
30	Q	50-249	98
30	Q	250=>	40
30	R	0-9	7565
30	R	10-49	286
30	R	50-249	47
30	R	250=>	2
30	S	0-9	34058
30	S	10-49	405
30	S	50-249	65
30	S	250=>	8
30	U	0-9	13
30	U	10-49	1
30	U	50-249	0
30	U	250=>	0
32	A	0-9	4281
32	A	10-49	169
32	A	50-249	49
32	A	250=>	1
32	B	0-9	84
32	B	10-49	9
32	B	50-249	2
32	B	250=>	0
32	C	0-9	14179
32	C	10-49	786
32	C	50-249	175
32	C	250=>	32
32	D	0-9	857
32	D	10-49	19
32	D	50-249	8
32	D	250=>	1
32	E	0-9	417
32	E	10-49	64
32	E	50-249	35
32	E	250=>	3
32	F	0-9	28716
32	F	10-49	471
32	F	50-249	44
32	F	250=>	1
32	G	0-9	34197
32	G	10-49	685
32	G	50-249	53
32	G	250=>	6
32	H	0-9	11488
32	H	10-49	196
32	H	50-249	43
32	H	250=>	10
32	I	0-9	10673
32	I	10-49	289
32	I	50-249	21
32	I	250=>	3
32	J	0-9	6876
32	J	10-49	58
32	J	50-249	13
32	J	250=>	2
32	K	0-9	5067
32	K	10-49	28
32	K	50-249	11
32	K	250=>	0
32	L	0-9	19538
32	L	10-49	200
32	L	50-249	38
32	L	250=>	1
32	M	0-9	17766
32	M	10-49	206
32	M	50-249	19
32	M	250=>	0
32	N	0-9	7643
32	N	10-49	140
32	N	50-249	26
32	N	250=>	5
32	O	0-9	710
32	O	10-49	169
32	O	50-249	139
32	O	250=>	29
32	P	0-9	5319
32	P	10-49	951
32	P	50-249	253
32	P	250=>	7
32	Q	0-9	15209
32	Q	10-49	282
32	Q	50-249	74
32	Q	250=>	17
32	R	0-9	3736
32	R	10-49	124
32	R	50-249	23
32	R	250=>	2
32	S	0-9	16413
32	S	10-49	156
32	S	50-249	19
32	S	250=>	0
32	U	0-9	5
32	U	10-49	3
32	U	50-249	1
32	U	250=>	0
